,index,chembl_id,pubchem_cid,smiles,parent_smiles,chembl_tox,withdrawn,standardized_smiles,scaffolds
907,4736,CHEMBL3187723,10288191,Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21,Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21,Safe,0,Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21,CCCCCC(C)C1CC2C(C)CCC2C(C)C1CC1CCC(C)CC1C
809,4259,CHEMBL89598,5665,C=CC(N)CCC(=O)O,C=CC(N)CCC(=O)O,Safe,0,C=CC(N)CCC(=O)O,CCC(C)CCC(C)C
2126,10524,CHEMBL2106123,13136,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Ca+2].[Ca+2].[Ca+2],O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Ca+2].[Ca+2].[Ca+2],Safe,0,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Ca+2].[Ca+2].[Ca+2],CCCC1CCC2CC(C(C)(C)C)CC2C1
1703,8458,CHEMBL788,5905,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,Safe,0,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,CCC1CC(C2CC(C)C(C)CC2C)CC1C
368,2144,CHEMBL239243,1123,NCCS(=O)(=O)O,NCCS(=O)(=O)O,Safe,0,NCCS(=O)(=O)O,CCCC(C)(C)C
283,1765,CHEMBL248702,66265,CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1,CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1,Safe,1,CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1,CCCC(C)CC1CCCC(C(C)(C)C)C1
903,4725,CHEMBL1079,5487,Clc1ccc2nsnc2c1NC1=NCCN1,Clc1ccc2nsnc2c1NC1=NCCN1,Safe,0,Clc1ccc2nsnc2c1NC1=NCCN1,CC1CCC2CCCC2C1CC1CCCC1
1026,5396,CHEMBL113,2519,Cn1c(=O)c2c(ncn2C)n(C)c1=O,Cn1c(=O)c2c(ncn2C)n(C)c1=O,Safe,0,Cn1c(=O)c2c(ncn2C)n(C)c1=O,CC1CCC2C(C)C(C)C(C)C(C)C12
650,3552,CHEMBL1551,31401,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,Safe,0,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,CC(C)CCC(C)C1CCC2C3C(C)CC4CC(C)CCC4(C)C3CCC12C
258,1623,CHEMBL2107797,16051930,C#CC1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,C#CC1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,Safe,0,C#CC1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,CCC1(C)CCC2C3CCC4CC(C)CCC4C3CCC21CC
1203,6271,CHEMBL495,5280723,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,Safe,0,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,CCCCCC(C)CCC1C(C)CC(C)C1CCCCCCC(C)C
1569,7908,CHEMBL285674,3261,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,Safe,0,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,CC1CCC2C3CCCC3CCC(C3CCCCC3)C2C1
1685,8397,CHEMBL590,4055,CC1=CC(=O)c2ccccc2C1=O,CC1=CC(=O)c2ccccc2C1=O,Safe,0,CC1=CC(=O)c2ccccc2C1=O,CC1CC(C)C2CCCCC2C1C
288,1807,CHEMBL54,3559,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,Safe,0,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,CC1CCC(C(C)CCCC2CCC(C)(C3CCC(C)CC3)CC2)CC1
1516,7706,CHEMBL564,4926,CN(C)CCCN1c2ccccc2Sc2ccccc21,CN(C)CCCN1c2ccccc2Sc2ccccc21,Safe,0,CN(C)CCCN1c2ccccc2Sc2ccccc21,CC(C)CCCC1C2CCCCC2CC2CCCCC21
330,2009,CHEMBL1200774,5876,C[C@]12C[C@H](O)[C@H]3[C@@H](C[C@H](F)C4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,C[C@]12C[C@H](O)[C@H]3[C@@H](C[C@H](F)C4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,Safe,0,C[C@]12C[C@H](O)[C@H]3[C@@H](C[C@H](F)C4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,CCC(C)C1(C)CCC2C3CC(C)C4CC(C)CCC4(C)C3C(C)CC21C
1595,8018,CHEMBL1201193,92253,CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,Safe,0,CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,CCCCC1CCCCC1C(C)CC1C(C)CCCC1C
499,2790,CHEMBL1387,6231,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,Safe,0,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,CCC1(C)CCC2C3CCC4CC(C)CCC4C3CCC21C
2062,10200,CHEMBL1463,3366,Nc1[nH]c(=O)ncc1F,Nc1[nH]c(=O)ncc1F,Safe,0,Nc1[nH]c(=O)ncc1F,CC1CCC(C)C(C)C1
345,2064,CHEMBL450449,108150,COc1cc2c(cc1O)CCN[C@]21CS[C@@H]2c3c(OC(C)=O)c(C)c4c(c3[C@H](COC1=O)N1[C@@H](O)[C@@H]3Cc5cc(C)c(OC)c(O)c5[C@H]([C@H]21)N3C)OCO4,COc1cc2c(cc1O)CCN[C@]21CS[C@@H]2c3c(OC(C)=O)c(C)c4c(c3[C@H](COC1=O)N1[C@@H](O)[C@@H]3Cc5cc(C)c(OC)c(O)c5[C@H]([C@H]21)N3C)OCO4,Safe,0,COc1cc2c(cc1O)CCN[C@]21CS[C@@H]2c3c(OC(C)=O)c(C)c4c(c3[C@H](COC1=O)N1[C@@H](O)[C@@H]3Cc5cc(C)c(OC)c(O)c5[C@H]([C@H]21)N3C)OCO4,CCC1CC2C(CCCC23CCC2C4C(CC(C)C)C(C)C5CCCC5C4C(CCC3C)C3C(C)C4CC5CC(C)C(CC)C(C)C5C(C4C)C23)CC1C
128,1069,CHEMBL457299,174,OCCO,OCCO,Safe,0,OCCO,CCCC
