chembl_id,drugbank_id,canonical_smiles_ap,canonical_smiles_ap_nonstereo,orginal_smiles,mw_ap,rule_of_5,rule_of_5_label,in_drugbank,in_chembl,wd_drugbank,wd_chembl,wd_withdrawn,drugbank_three_class,sum,wd_consensus_1,wd_consensus_2,wd_consensus_3,standardized_smiles,scaffolds
CHEMBL577,DB09477,C(=O)(N1[C@H](C(=O)O)CCC1)[C@@H](N[C@H](C(=O)O)CCc2ccccc2)C,C(=O)(N1C(C(=O)O)CCC1)C(NC(C(=O)O)CCc2ccccc2)C,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,348.40148,0,,yes,yes,0,0,,AD,0,0,0,0,CC(NC(CCc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O,CC(C)C(CCC1CCCCC1)CC(C)C(C)C1CCCC1C(C)C
CHEMBL73451,,c12c(Sc3c(N1CC4C5CCN(C4)CC5)cccc3)cccc2,c12c(Sc3c(N1CC4C5CCN(C4)CC5)cccc3)cccc2,c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2,322.47474,0,,no,yes,,0,,,0,0,0,0,c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2,C1CCC2C(C1)CC1CCCCC1C2CC1CC2CCC1CC2
CHEMBL46058,DB13259,ClCC,ClCC,CCCl,64.51505,0,,yes,yes,0,0,,AD,0,0,0,0,CCCl,CCC
CHEMBL1201266,DB06794,C(#N)c1cc(c(Cl)c(NC(C(=O)O)=O)c1)NC(C(=O)O)=O,C(#N)c1cc(c(Cl)c(NC(C(=O)O)=O)c1)NC(C(=O)O)=O,N#Cc1cc(NC(=O)C(=O)O)c(Cl)c(NC(=O)C(=O)O)c1,311.63942,0,,yes,yes,0,0,,AD,0,0,0,0,N#Cc1cc(NC(=O)C(=O)O)c(Cl)c(NC(=O)C(=O)O)c1,CCC1CC(CC(C)C(C)C)C(C)C(CC(C)C(C)C)C1
CHEMBL317052,DB06213,C(=O)(c1cnn(-c2nc3c(c(n2)N)ncn3[C@@H]4O[C@@H]([C@@H](O)[C@H]4O)CO)c1)NC,C(=O)(c1cnn(-c2nc3c(c(n2)N)ncn3C4OC(C(O)C4O)CO)c1)NC,CNC(=O)c1cnn(-c2nc(N)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)c1,390.36056,2,Hb; NO,yes,yes,0,0,,AD,0,0,0,0,CNC(=O)c1cnn(-c2nc(N)c3ncn(C4OC(CO)C(O)C4O)c3n2)c1,CCC(C)C1CCC(C2CC(C)C3CCC(C4CC(CC)C(C)C4C)C3C2)C1
CHEMBL1378,DB00372,S(c1cc2c(Sc3c(N2CCCN4CCN(CC4)C)cccc3)cc1)CC,S(c1cc2c(Sc3c(N2CCCN4CCN(CC4)C)cccc3)cc1)CC,CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2,399.62343,0,,yes,yes,1,0,,DISCONT,0,0,0,0,CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2,CCCC1CCC2CC3CCCCC3C(CCCC3CCC(C)CC3)C2C1
CHEMBL807,DB01043,C12(N)CC3(CC(C1)(CC(C2)C3)C)C,C12(N)CC3(CC(C1)(CC(C2)C3)C)C,CC12CC3CC(C)(C1)CC(N)(C3)C2,179.30727,0,,yes,yes,0,0,,AD,0,0,0,0,CC12CC3CC(C)(C1)CC(N)(C3)C2,CC12CC3CC(C)(C1)CC(C)(C3)C2
CHEMBL1201273,DB06814,c12c(OCO1)ccc(c2)CC(NCC(c3cc(c(O)cc3)O)O)C,c12c(OCO1)ccc(c2)CC(NCC(c3cc(c(O)cc3)O)O)C,CC(Cc1ccc2c(c1)OCO2)NCC(O)c1ccc(O)c(O)c1,331.37087,0,,yes,yes,0,0,,AD,0,0,0,0,CC(Cc1ccc2c(c1)OCO2)NCC(O)c1ccc(O)c(O)c1,CC(CCC(C)C1CCC(C)C(C)C1)CC1CCC2CCCC2C1
CHEMBL1276308,DB00834,C(#CC)[C@]1([C@@]2([C@H]([C@H]3C(=C4C(=CC(=O)CC4)CC3)[C@@H](c5ccc(N(C)C)cc5)C2)CC1)C)O,C(#CC)C1(C2(C(C3C(=C4C(=CC(=O)CC4)CC3)C(c5ccc(N(C)C)cc5)C2)CC1)C)O,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,429.60635,1,LP,yes,yes,0,0,,AD,0,0,0,0,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C,CCCC1(C)CCC2C3CCC4CC(C)CCC4C3C(C3CCC(C(C)C)CC3)CC21C
CHEMBL1651906,DB00428,C(N(N=O)C)(=O)N[C@H]1C(O[C@@H]([C@@H](O)[C@@H]1O)CO)O,C(N(N=O)C)(=O)NC1C(OC(C(O)C1O)CO)O,CN(N=O)C(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,265.22425,0,,yes,yes,0,0,,AD,0,0,0,0,CN(N=O)C(=O)NC1C(O)OC(CO)C(O)C1O,CCC(C)C(C)CC1C(C)CC(CC)C(C)C1C
CHEMBL367149,DB03756,C(=O)(O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,C(=O)(O)CCC=CCC=CCC=CCC=CCC=CCC=CCC,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O,328.49804,1,LP,yes,yes,0,,,AD,0,0,0,0,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O,CCCCCCCCCCCCCCCCCCCCCC(C)C
