,drugbank_id,inchi_key,drug_groups,smiles,synonyms,molecule_type,structure_type,therapeutic_flag,molecule_chembl_id,max_phase,atc_classifications,chirality,prodrug,oral,parenteral,topical,black_box_warning,availability_type,withdrawn_year,withdrawn_reason,withdrawn_country,withdrawn_class,alogp,aromatic_rings,cx_logd,cx_logp,cx_most_apka,cx_most_bpka,full_mwt,hba,hba_lipinski,hbd,hbd_lipinski,heavy_atoms,molecular_species,mw_freebase,mw_monoisotopic,num_lipinski_ro5_violations,num_ro5_violations,psa,qed_weighted,ro3_pass,rtb,parent_chembl_id,parent_smiles,parent_inchi_key,action_type,direct_interaction,disease_efficacy,molecular_mechanism,target_chembl_id,chembl_tox,withdrawn
277,DB00403,YRALAIOMGQZKOW-HYAOXDFASA-N,approved,[H][C@](NC(=O)[C@H](CC1=CC=C(OS(O)(=O)=O)C=C1)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCC(=O)N1)([C@@H](C)O)C(=O)NCC(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,Ceruletide,Protein,BOTH,True,CHEMBL1201355,4,V04CC04,1,0,False,True,False,0,0,,,,,,,,,,,1352.43,,,,,,,1352.43,1351.4485,,,,,,,CHEMBL1201355,missing,missing,missing,missing,missing,missing,missing,Safe,0
290,DB00416,DIGFQJFCDPKEPF-OIUSMDOTSA-L,approved; withdrawn,[I-].[I-].[H][C@@]12CC3=CC=C(OC4=C5C(CC[N+](C)(C)[C@]5([H])CC5=CC(OC6=C(OC)C=C(CC[N+]1(C)C)C2=C6)=C(OC)C=C5)=CC(OC)=C4OC)C=C3,Metocurine iodide,Small molecule,MOL,True,CHEMBL1739,4,,1,0,False,True,False,0,0,,,,,7.45,4,-1.85,-1.85,12.99,,906.64,6,8,0,0,48,NEUTRAL,652.83,652.3501,2,2,55.38,0.21,N,4,CHEMBL1259,missing,missing,ANTAGONIST+ANTAGONIST,True+True,True+True,True+True,CHEMBL2362997+CHEMBL2362997,Safe,1
303,DB00429,UMMADZJLZAPZAW-XOWPVRJPSA-N,approved,NC(CO)(CO)CO.CCCCC[C@](C)(O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(O)=O,Carboprost tromethamine,Small molecule,MOL,True,CHEMBL1237105,4,,1,0,False,True,False,1,1,,,,,3.43,0,-0.03,2.89,4.36,,489.65,4,5,4,4,26,ACID,368.51,368.2563,0,0,97.99,0.31,N,12,CHEMBL1237122,missing,missing,AGONIST+AGONIST,True+True,True+True,True+True,CHEMBL1987+CHEMBL1987,Safe,0
335,DB00462,CXYRUNPLKGGUJF-RAFJPFSSSA-M,approved,[Br-].[H][C@@]12O[C@]1([H])[C@H]1C[C@H](C[C@@H]2[N+]1(C)C)OC(=O)[C@H](CO)C1=CC=CC=C1,Methscopolamine bromide,Small molecule,MOL,True,CHEMBL1354199,4,,1,0,True,False,False,0,1,,,,,1.06,1,-3.27,-3.27,,,398.30,4,5,1,1,23,NEUTRAL,318.39,318.1700,0,0,59.06,0.51,N,4,CHEMBL376897,missing,missing,ANTAGONIST+ANTAGONIST+ANTAGONIST,True+True+True,True+True+True,True+True+True,CHEMBL245+CHEMBL245+CHEMBL216,Safe,0
336,DB00464,FVEFRICMTUKAML-UHFFFAOYSA-M,approved; investigational,[Na+].CCCCC(CC)CCC(CC(C)C)OS([O-])(=O)=O,Sodium tetradecyl sulfate,Small molecule,MOL,True,CHEMBL1200354,4,C05BB04,0,0,False,True,False,0,1,,,,,4.22,0,2.66,5.04,-1.05,,316.44,3,4,1,1,19,ACID,294.46,294.1865,0,0,63.60,0.58,N,11,CHEMBL1201345,missing,missing,,True,True,True,,Safe,0
354,DB00483,REEUVFCVXKWOFE-UHFFFAOYSA-K,approved,[I-].[I-].[I-].CC[N+](CC)(CC)CCOC1=CC=CC(OCC[N+](CC)(CC)CC)=C1OCC[N+](CC)(CC)CC,Gallamine triethiodide,Small molecule,MOL,True,CHEMBL1200993,4,,2,0,False,True,False,0,0,,,,,5.45,1,-7.72,-7.72,,,891.54,3,6,0,0,36,NEUTRAL,510.83,510.4618,2,2,27.69,0.21,N,21,CHEMBL360055,missing,missing,ANTAGONIST,True,True,True,CHEMBL2362997,Safe,0
363,DB00492,BIDNLKIUORFRQP-FLODCBCLSA-N,approved,CCC(=O)O[C@@H](OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N1C[C@@H](C[C@H]1C(O)=O)C1CCCCC1)C(C)C,Fosinopril,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,Safe,0
383,DB00515,LXZZYRPGZAFOLE-UHFFFAOYSA-L,approved,[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H],Cisplatin,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,Safe,0
385,DB00517,QSFKGMJOKUZAJM-UHFFFAOYSA-M,approved,[Br-].CCCC(CCC)C(=O)O[C@H]1CC2CCC(C1)[N+]2(C)C,Anisotropine methylbromide,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,Safe,0
388,DB00520,JYIKNQVWKBUSNH-WVDDFWQHSA-N,approved,[H][C@@]12C[C@@H](O)CN1C(=O)[C@@H](NC(=O)[C@]([H])(C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]1[C@@H](O)CCN1C(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@H](O)[C@@H](O)C1=CC=C(O)C=C1)[C@H](O)CCN)NC(=O)CCCCCCCC[C@@H](C)C[C@@H](C)CC)[C@@H](C)O,Caspofungin,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,Safe,0
