,smiles,ChEMBL_ID,SUM,withdrawn_0.5,withdrawn_1.0,withdrawn_1.5,withdrawn_2.0,withdrawn_2.5,withdrawn_3.0
103,C(=O)(OCC)C1=C(NC(=C(C(=O)OC)C1c2c(Cl)cccc2)C)COCCN,CHEMBL1491,0.0,0,0,0,0,0,0
104,O=C1C(C(=O)NC(=O)N1)(CCC(C)C)CC,CHEMBL267894,1.0,1,1,0,0,0,0
105,N(Cc1c(O)ccc(Nc2c3c(ncc2)cc(Cl)cc3)c1)(CC)CC,CHEMBL682,0.5,1,0,0,0,0,0
106,C(c1ccc(cc1)CC(CN2C[C@@H](O[C@@H](C2)C)C)C)(CC)(C)C,CHEMBL489411,0.0,0,0,0,0,0,0
107,Clc1cc2C(=Nc3c(Oc2cc1)cccc3)N4CCNCC4,CHEMBL1113,0.0,0,0,0,0,0,0
108,C(=O)([C@@H](c1ccc(O)cc1)N)N[C@@H]2C(=O)N3[C@@H](C(=O)O)C(S[C@@H]32)(C)C,CHEMBL1082,0.0,0,0,0,0,0,0
109,c1(ccccc1)CC(N)C,CHEMBL405,1.0,1,1,0,0,0,0
110,C(=O)(O)[C@H]1[C@H]2O[C@@](O)(C[C@@H]1O)C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]([C@@H]([C@H](O)[C@H](/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]3O[C@@H]([C@@H](O)[C@@H]([C@@H]3O)N)C)C2)C)C)C,CHEMBL267345,0.0,0,0,0,0,0,0
111,C(=O)([C@@H](c1ccccc1)N)N[C@@H]2C(=O)N3[C@@H](C(=O)O)C(S[C@@H]32)(C)C,CHEMBL174,0.0,0,0,0,0,0,0
112,C(=O)(O[C@@H]1COCC1)N[C@H]([C@H](O)CN(S(=O)(=O)c2ccc(cc2)N)CC(C)C)Cc3ccccc3,CHEMBL116,0.5,1,0,0,0,0,0
113,O=C1C(=CC(c2ccncc2)=CN1)N,CHEMBL12856,0.0,0,0,0,0,0,0
114,O=S(=O)(Nc1cc(OC)c(Nc2c3c(nc4c2cccc4)cccc3)cc1)C,CHEMBL43,0.0,0,0,0,0,0,0
115,N(=O)OCCCCC,CHEMBL3188202,0.0,0,0,0,0,0,0
116,c1(c(ccc(c1)C)CCCCC)O,CHEMBL1512677,0.0,0,0,0,0,0,0
117,C(=O)(OC(CN(C)C)(CC)C)c1ccccc1,CHEMBL1740065,1.0,1,1,0,0,0,0
118,O=C1NC2=Nc3c(c(Cl)c(Cl)cc3)CN2C1,CHEMBL760,0.0,0,0,0,0,0,0
119,C(C(c1cc(C(C#N)(C)C)cc(c1)Cn2ncnc2)(C)C)#N,CHEMBL1399,0.0,0,0,0,0,0,0
120,O(c1ccc(/C=C/C)cc1)C,CHEMBL452630,0.0,0,0,0,0,0,0
121,O(c1ccc(C2SSC(=S)C=2)cc1)C,CHEMBL178862,0.0,0,0,0,0,0,0
122,C(=O)(N1[C@H](C(=O)N[C@H](C(=O)O)Cc2ccccc2)CCC1)[C@@H](NC(=O)[C@H]([C@H](CC)C)NC(=O)[C@@H](NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)N)CCCN=C(N)N)Cc3ccc(O)cc3)Cc4cnc[nH]4,CHEMBL408403,0.0,0,0,0,0,0,0
