DrugBank ID,CHEMBL_21July2021,smiles,withdrawn
DB14554,CHEMBL441920,C(=O)([C@H](NC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1)Cc2ccccc2)N[C@@H]3C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)[C@H](O)C)CSSC3)[C@H](O)C)CCCCN)Cc4c5c(cccc5)[nH]c4)Cc6ccc(O)cc6,0
DB14545,CHEMBL977,C(=O)(OCC(=O)[C@@]1([C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)CC3)C)[C@@H](O)C2)CC1)C)O)CCC(=O)O,0
DB14544,CHEMBL1200562,C(=O)(O[C@@]1(C(=O)CO)[C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)CC3)C)[C@@H](O)C2)CC1)C)CCCC,0
DB14543,CHEMBL1200953,C(=O)(O[C@@]1(C(=O)COC(=O)CC)[C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)CC3)C)[C@@H](O)C2)CC1)C)CCC,0
DB14542,CHEMBL1641,C(=O)([C@@]1([C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)CC3)C)[C@@H](O)C2)CC1)C)O)COP(=O)(O)O,0
DB14541,CHEMBL1549,C(=O)(OCC(=O)[C@@]1([C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)CC3)C)[C@@H](O)C2)CC1)C)O)CCC5CCCC5,0
DB14540,CHEMBL1683,C(=O)(O[C@@]1(C(=O)CO)[C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)CC3)C)[C@@H](O)C2)CC1)C)CCC,0
DB14539,CHEMBL1091,C(=O)(OCC(=O)[C@@]1([C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)CC3)C)[C@@H](O)C2)CC1)C)O)C,0
DB14512,CHEMBL1161,C(=O)(O[C@@]1(C(=O)CCl)[C@@]2([C@H]([C@H]3[C@@](Cl)([C@@]4(C(=CC(=O)C=C4)CC3)C)[C@@H](O)C2)C[C@H]1C)C)c5occc5,0
DB14482,CHEMBL591665,O=C1C(=C([O-])[C@H](O1)[C@@H](O)CO)O,0
DB14476,CHEMBL49563,c12c(c(c(c(c1CCC(O2)(CCCC(CCCC(CCCC(C)C)C)C)C)C)O)C)C,0
DB14219,CHEMBL589586,C(=O)(OC)/C=C/C(=O)O,0
DB14212,CHEMBL325372,C(=O)(OC)c1ccc(O)cc1,0
DB14202,CHEMBL1530581,S(c1nc2c(s1)cccc2)N3CCOCC3,0
DB14201,CHEMBL508112,S(Sc1nc2c(s1)cccc2)c3nc4c(s3)cccc4,0
DB14200,CHEMBL1591074,S(c1nc2c(s1)cccc2)NC3CCCCC3,0
DB14199,CHEMBL3188084,C(C(Br)(CBr)CCC#N)#N,0
DB14197,CHEMBL1738962,O=C1N(SC(Cl)=C1)C,0
DB14195,CHEMBL1449018,c1(Nc2ccccc2)ccc(NC(C)C)cc1,0
DB14194,CHEMBL2373108,C(N(CCCC)CCCC)(=S)[S-],0
DB14193,CHEMBL3182813,C(N(CC)CC)(=S)[S-],0
DB14191,CHEMBL77675,C(=N)(Nc1ccccc1)Nc2ccccc2,0
DB14189,CHEMBL816,C(CN)N,0
DB14188,CHEMBL2135887,O(c1c(O)ccc(C=CC)c1)C,0
DB14187,CHEMBL3186027,C(O)(CCCC(CC=O)C)(C)C,0
DB14186,CHEMBL324794,c1(/C=C/CO)ccccc1,0
DB14185,CHEMBL2219425,C(=O)(OCN1C(=O)CCc2c1cc(OCCCCN3CCN(c4c(Cl)c(Cl)ccc4)CC3)cc2)CCCCCCCCCCC,0
DB14184,CHEMBL293492,O=C/C=C/c1ccccc1,0
DB14183,CHEMBL25719,C(=CCC/C(=C/CO)/C)(C)C,0
DB14178,CHEMBL571700,C(N(C)C)(=S)SC(N(C)C)=S,0
DB14177,CHEMBL194014,C(=O)(OCCC)c1ccc(O)cc1,0
DB14176,CHEMBL447861,C(=O)(OCc1ccccc1)c2ccc(O)cc2,0
DB14175,CHEMBL1611291,C(/C=O)(=C/c1ccccc1)\CCCCC,0
DB14174,CHEMBL121516,C(=S)(SSC(=S)N1CCCCC1)N2CCCCC2,0
DB14173,CHEMBL3187032,C(N(C1C(=O)N(C(=O)N1CO)CO)CO)(=O)NCO,0
DB14159,CHEMBL1615775,O=P(C(P(=O)(O)O)O)(O)O,0
DB14150,CHEMBL1161633,O=Cl(=O)O,0
DB14141,CHEMBL403741,c1(ccc(cc1)N)N,0
DB14120,CHEMBL3961037,c1(c(O)cc(O)cc1)C(c2ccccc2)C,0
DB14110,CHEMBL3186475,C(O)(CCO)C,0
DB14104,CHEMBL267476,C(=O)(O)CCCCCCC/C=C\C/C=C\CCCCC,0
DB14099,CHEMBL113644,C(=O)(OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(OCC[N+](C)(C)C)[O-])CCCCCCCCCCCCCCCCC,0
DB14084,CHEMBL459008,C(=O)(OCCCC)c1ccc(O)cc1,0
DB14083,CHEMBL258558,C(c1ccc(OCC2OC2)cc1)(c3ccc(OCC4OC4)cc3)(C)C,0
DB14082,CHEMBL3183117,C(=O)(SCC(=O)NCC(=O)NCC(=O)NCC(=O)O)c1ccccc1,0
DB14078,CHEMBL180570,O=P(O)(O)CP(=O)(O)O,0
