,Identifier,smiles,withdrawn
52,DB00177,C(N([C@H](C(=O)O)C(C)C)Cc1ccc(-c2c(-c3nn[nH]n3)cccc2)cc1)(=O)CCCC,0
53,DB00178,C(=O)(OCC)[C@@H](N[C@H](C(=O)N1[C@H](C(=O)O)C[C@H]2[C@@H]1CCC2)C)CCc3ccccc3,0
54,DB00179,c1(c(O)ccc(c1)C[C@@H]([C@@H](Cc2cc(c(O)cc2)O)C)C)O,0
55,DB00180,C(=O)([C@]12[C@@]3([C@H]([C@H]4[C@@H]([C@@]5(C(=CC(=O)C=C5)[C@@H](F)C4)C)[C@@H](O)C3)C[C@H]1OC(O2)(C)C)C)CO,0
56,DB00181,C(=O)(O)CC(c1ccc(Cl)cc1)CN,0
57,DB00182,c1(ccccc1)CC(N)C,0
58,DB00183,C(=O)(OC(C)(C)C)NCCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N)Cc1ccccc1)CC(=O)O)CCSC)Cc2c3c(cccc3)[nH]c2,0
59,DB00184,c1(cnccc1)[C@H]2N(CCC2)C,0
60,DB00185,[C@@]12(O[C@H](SC1)C)C3CCN(C2)CC3,0
61,DB00186,O=C1C(N=C(c2c(Cl)cccc2)c3c(ccc(Cl)c3)N1)O,0
62,DB00187,C(=O)(OC)CCc1ccc(OCC(O)CNC(C)C)cc1,0
63,DB00188,B([C@@H](NC(=O)[C@@H](NC(=O)c1nccnc1)Cc2ccccc2)CC(C)C)(O)O,0
64,DB00189,C(C(/C=C/Cl)(O)CC)#C,1
65,DB00190,C([C@@](NN)(Cc1cc(c(O)cc1)O)C)(=O)O,0
66,DB00191,C(Cc1ccccc1)(N)(C)C,0
67,DB00192,C(=O)(C1(c2c(-c3c1cccc3)cccc2)CCCNC(C)C)N,0
68,DB00193,N(C[C@@H]1[C@](c2cc(OC)ccc2)(O)CCCC1)(C)C,0
69,DB00194,c12c(ncnc1N)n(cn2)[C@@H]3O[C@@H]([C@@H](O)[C@@H]3O)CO,0
70,DB00195,O(c1ccc(cc1)CCOCC2CC2)CC(O)CNC(C)C,0
71,DB00196,C(c1c(F)cc(F)cc1)(O)(Cn2ncnc2)Cn3ncnc3,0
72,DB00197,O=C1SC(C(=O)N1)Cc2ccc(OCC3(Oc4c(c(c(c(c4C)C)O)C)CC3)C)cc2,1
73,DB00198,C(=O)(OCC)C1=C[C@@H](OC(CC)CC)[C@H](NC(=O)C)[C@@H](N)C1,0
74,DB00199,N([C@@H]1[C@@H](O)[C@H](O[C@H]2[C@](O)(C[C@H](C(=O)[C@@H]([C@H]([C@](O)([C@H](OC(=O)[C@@H]([C@@H](O[C@@H]3O[C@H]([C@@H]([C@](OC)(C3)C)O)C)[C@@H]2C)C)CC)C)O)C)C)C)O[C@@H](C1)C)(C)C,0
75,DB00201,O=C1c2c(ncn2C)N(C(=O)N1C)C,0
76,DB00202,C(=O)(OCC[N+](C)(C)C)CCC(=O)OCC[N+](C)(C)C,0
77,DB00203,O=S(=O)(c1cc(c(OCC)cc1)C2=Nc3c(C(=O)N2)n(nc3CCC)C)N4CCN(CC4)C,0
78,DB00204,N(CCOc1ccc(NS(=O)(=O)C)cc1)(CCc2ccc(NS(=O)(=O)C)cc2)C,0
79,DB00205,Clc1ccc(-c2c(nc(nc2N)N)CC)cc1,0
