,smiles,ChEMBL_ID,SUM,withdrawn_0.5,withdrawn_1.0,withdrawn_1.5,withdrawn_2.0,withdrawn_2.5,withdrawn_3.0,standardized_smiles,scaffolds
79,C(C(=O)NCC[N+](Cc1c(Cl)cccc1)(CC)CC)(=O)NCC[N+](Cc2c(Cl)cccc2)(CC)CC,CHEMBL1652,0.0,0,0,0,0,0,0,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl,CCC(CC)(CCCC(C)C(C)CCCC(CC)(CC)CC1CCCCC1C)CC1CCCCC1C
80,C(=O)([C@H](C(OC)(c1ccccc1)c2ccccc2)Oc3nc(cc(n3)C)C)O,CHEMBL1111,0.0,0,0,0,0,0,0,COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O,CCC(C1CCCCC1)(C1CCCCC1)C(CC1CC(C)CC(C)C1)C(C)C
81,Brc1c(c(cc(Br)c1)CNC2CCC(O)CC2)N,CHEMBL153479,0.0,0,0,0,0,0,0,Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1,CC1CCC(CCC2CC(C)CC(C)C2C)CC1
82,C(=O)(OCC(=O)[C@]12[C@@]3([C@H]([C@H]4[C@@](F)([C@@]5(C(=CC(=O)C=C5)CC4)C)[C@@H](O)C3)C[C@H]1OC6(O2)CCCC6)C)C,CHEMBL1200732,0.0,0,0,0,0,0,0,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,CC(C)CCC(C)C12CC3(CCCC3)CC1CC1C3CCC4CC(C)CCC4(C)C3(C)C(C)CC12C
83,C(=O)(O)[C@H]1C(S[C@H]2N1C(=O)[C@H]2N=CN3CCCCCC3)(C)C,CHEMBL530,1.5,1,1,1,0,0,0,CC1(C)S[C@@H]2[C@H](N=CN3CCCCCC3)C(=O)N2[C@H]1C(=O)O,CC(C)C1C2C(C)C(CCC3CCCCCC3)C2CC1(C)C
84,c1(c(ccnc1)N)N,CHEMBL354077,0.0,0,0,0,0,0,0,Nc1ccncc1N,CC1CCCCC1C
85,O=P(SCCNCCCN)(O)O,CHEMBL1006,0.0,0,0,0,0,0,0,NCCCNCCSP(=O)(O)O,CCCCCCCCC(C)(C)C
86,C(=O)([C@@H](O)CCN)N[C@H]1[C@H](O[C@H]2O[C@@H]([C@@H](O)[C@@H]([C@H]2O)N)CO)[C@@H](O)[C@H](O[C@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)CN)[C@@H](N)C1,CHEMBL177,0.0,0,0,0,0,0,0,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,CCCC(C)C(C)CC1CC(C)C(CC2CC(CC)C(C)C(C)C2C)C(C)C1CC1CC(CC)C(C)C(C)C1C
87,C(=O)(c1c(nc(c(Cl)n1)N)N)NC(=N)N,CHEMBL945,0.0,0,0,0,0,0,0,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,CC(C)CC(C)C1CC(C)C(C)CC1C
88,C(=O)(OCCC(C)C)/C=C/c1ccc(OC)cc1,CHEMBL1476782,0.0,0,0,0,0,0,0,COc1ccc(/C=C/C(=O)OCCC(C)C)cc1,CCC1CCC(CCC(C)CCCC(C)C)CC1
