chembl_id,drugbank_id,canonical_smiles_ap,canonical_smiles_ap_nonstereo,original_smiles,mw_ap,rule_of_5,rule_of_5_label,in_drugbank,in_chembl,wd_drugbank,wd_chembl,wd_withdrawn,drugbank_three_class,standardized_smiles,scaffolds,wd_consensus_1,wd_consensus_2,wd_consensus_3
CHEMBL1095777,DB05039,O=C1C=Cc2c([C@@H](O)CNC3Cc4c(cc(c(c4)CC)CC)C3)ccc(c2N1)O,O=C1C=Cc2c(C(O)CNC3Cc4c(cc(c(c4)CC)CC)C3)ccc(c2N1)O,CCc1cc2c(cc1CC)CC(NC[C@H](O)c1ccc(O)c3[nH]c(=O)ccc13)C2,392.50116,0,,yes,yes,0,0,0,AD,CCc1cc2c(cc1CC)CC(NC[C@H](O)c1ccc(O)c3[nH]c(=O)ccc13)C2,CCC1CC2CC(CCC(C)C3CCC(C)C4CC(C)CCC34)CC2CC1CC,0,0,0
CHEMBL1095930,,C(/C(=N\OC)/c1occc1)(=O)N[C@@H]2C(=O)N3C(C(=O)OC(OC(=O)C)C)=C(COC(=O)N)CS[C@@H]32,C(C(=O)NC1C(=O)N2C(C(=O)OC(OC(=O)C)C)=C(COC(=O)N)CSC21)(=NOC)c3occc3,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)OC(C)OC(C)=O)=C(COC(N)=O)CS[C@H]12)c1ccco1,510.48214,2,Mw; NO,no,yes,,0,0,,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)OC(C)OC(C)=O)=C(COC(N)=O)CS[C@H]12)c1ccco1,CCCC(C(C)CC1C(C)C2C1CCC(CCC(C)C)C2C(C)CC(C)CC(C)C)C1CCCC1,0,0,0
CHEMBL1096,DB01025,C(=O)(c1c(nc2c(C(=O)c3c(O2)ccc(C(C)C)c3)c1)N)O,C(=O)(c1c(nc2c(C(=O)c3c(O2)ccc(C(C)C)c3)c1)N)O,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,298.30018,0,,yes,yes,1,0,0,DISCONT,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,CC(C)C1CCC2CC3CC(C)C(C(C)C)CC3C(C)C2C1,0,0,0
CHEMBL1096562,DB00992,C(=O)(OC)CCC(=O)CN,C(=O)(OC)CCC(=O)CN,COC(=O)CCC(=O)CN,145.15917,0,,yes,yes,0,0,0,AD,COC(=O)CCC(=O)CN,CCC(C)CCC(C)CC,0,0,0
CHEMBL1096882,,O=P(OC[C@H]1O[C@@H](n2c3c(c(nc(F)n3)N)nc2)[C@@H](O)[C@@H]1O)(O)O,O=P(OCC1OC(n2c3c(c(nc(F)n3)N)nc2)C(O)C1O)(O)O,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O,365.21611,2,Hb; NO,no,yes,,0,0,,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O,CC1CC(C)C2CCC(C3CC(CCC(C)(C)C)C(C)C3C)C2C1,0,0,0
CHEMBL1096885,DB00385,C(C(F)(F)F)(=O)N[C@@H]1[C@H](O)[C@@H](O[C@@H](O[C@@H]2c3c(c4C(=O)c5c(OC)cccc5C(=O)c4c(c3C[C@](C(=O)COC(=O)CCCC)(O)C2)O)O)C1)C,C(C(F)(F)F)(=O)NC1C(O)C(OC(OC2c3c(c4C(=O)c5c(OC)cccc5C(=O)c4c(c3CC(C(=O)COC(=O)CCCC)(O)C2)O)O)C1)C,CCCCC(=O)OCC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(OC)cccc1C3=O,723.65842,2,Mw; NO,yes,yes,0,0,0,AD,CCCCC(=O)OCC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(OC)cccc1C3=O,CCCCC(C)CCC(C)C1(C)CC(CC2CC(C)C(C)C(CC(C)C(C)(C)C)C2)C2C(C)C3C(C)C4C(CC)CCCC4C(C)C3C(C)C2C1,0,0,0
CHEMBL1096927,DB13153,C(=CCC[C@](O)([C@@H]1CC=C(CC1)C)C)(C)C,C(=CCCC(O)(C1CC=C(CC1)C)C)(C)C,[H][C@@]1(CCC(C)=CC1)[C@@](C)(O)CCC=C(C)C,222.37312,0,,yes,yes,0,,0,AD,CC(C)=CCC[C@](C)(O)[C@@H]1CC=C(C)CC1,CC(C)CCCC(C)(C)C1CCC(C)CC1,0,0,0
CHEMBL1096979,DB12783,C(=O)(C(CO)N)NNCc1c(c(c(O)cc1)O)O,C(=O)(C(CO)N)NNCc1c(c(c(O)cc1)O)O,NC(CO)C(=O)NNCc1ccc(O)c(O)c1O,257.24765,1,Hb,yes,yes,0,0,0,AD,NC(CO)C(=O)NNCc1ccc(O)c(O)c1O,CCC(C)C(C)CCCC1CCC(C)C(C)C1C,0,0,0
CHEMBL1098,DB00297,C(=O)(Nc1c(cccc1C)C)C2N(CCCC)CCCC2,C(=O)(Nc1c(cccc1C)C)C2N(CCCC)CCCC2,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,288.43576,0,,yes,yes,0,0,0,AD,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,CCCCC1CCCCC1C(C)CC1C(C)CCCC1C,0,0,0
CHEMBL1098319,DB09110,O=S(=O)(O)CCS,O=S(=O)(O)CCS,O=S(=O)(O)CCS,142.19622,0,,yes,yes,0,0,0,AD,O=S(=O)(O)CCS,CCCC(C)(C)C,0,0,0
CHEMBL11,DB00458,N(CCCN1c2c(cccc2)CCc3c1cccc3)(C)C,N(CCCN1c2c(cccc2)CCc3c1cccc3)(C)C,CN(C)CCCN1c2ccccc2CCc2ccccc21,280.41558,0,,yes,yes,0,0,0,AD,CN(C)CCCN1c2ccccc2CCc2ccccc21,CC(C)CCCC1C2CCCCC2CCC2CCCCC21,0,0,0
CHEMBL110,DB11989,C(=O)(NCc1ccccc1)Cn2c(ncc2)[N+](=O)[O-],C(=O)(NCc1ccccc1)Cn2c(ncc2)[N+](=O)[O-],O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,260.25384,0,,yes,yes,0,0,0,AD,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,CC(CCC1CCCCC1)CC1CCCC1C(C)C,0,0,0
CHEMBL1100,DB00617,O=C1C(OC(=O)N1C)(CC)C,O=C1C(OC(=O)N1C)(CC)C,CCC1(C)OC(=O)N(C)C1=O,157.17027,0,,yes,yes,0,0,0,AD,CCC1(C)OC(=O)N(C)C1=O,CCC1(C)CC(C)C(C)C1C,0,0,0
CHEMBL1101,DB00810,C(c1ccccc1)(O)(C2C3C=CC(C2)C3)CCN4CCCCC4,C(c1ccccc1)(O)(C2C3C=CC(C2)C3)CCN4CCCCC4,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,311.47033,0,,yes,yes,0,0,0,AD,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,CC(CCC1CCCCC1)(C1CCCCC1)C1CC2CCC1C2,0,0,0
CHEMBL1102,DB01437,O=C1C(c2ccccc2)(CC)CCC(=O)N1,O=C1C(c2ccccc2)(CC)CCC(=O)N1,CCC1(c2ccccc2)CCC(=O)NC1=O,217.26935,0,,yes,yes,0,0,0,AD,CCC1(c2ccccc2)CCC(=O)NC1=O,CCC1(C2CCCCC2)CCC(C)CC1C,0,0,0
CHEMBL1103,,N(/N1C(=O)OCC1)=C\c2oc([N+](=O)[O-])cc2,N(N1C(=O)OCC1)=Cc2oc([N+](=O)[O-])cc2,O=C1OCCN1/N=C/c1ccc([N+](=O)[O-])o1,225.16169,0,,no,yes,,0,0,,O=C1OCCN1/N=C/c1ccc([N+](=O)[O-])o1,CC(C)C1CCC(CCC2CCCC2C)C1,0,0,0
CHEMBL1104,DB01010,c1([N+](CC)(C)C)cc(O)ccc1,c1([N+](CC)(C)C)cc(O)ccc1,CC[N+](C)(C)c1cccc(O)c1,166.24462,0,,yes,yes,0,0,0,AD,CC[N+](C)(C)c1cccc(O)c1,CCC(C)(C)C1CCCC(C)C1,0,0,0
CHEMBL110458,DB05018,O[C@H]1[C@@H](O)[C@H](NC[C@@H]1O)CO,OC1C(O)C(NCC1O)CO,OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,163.17451,0,,yes,yes,0,0,0,AD,OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,CCC1CCC(C)C(C)C1C,0,0,0
CHEMBL1106,DB00751,c12c(cccc1)Cc3c(cccc3)C4N2C(=NC4)N,c12c(cccc1)Cc3c(cccc3)C4N2C(=NC4)N,NC1=NCC2c3ccccc3Cc3ccccc3N12,249.31725,0,,yes,yes,0,0,0,AD,NC1=NCC2c3ccccc3Cc3ccccc3N12,CC1CCC2C3CCCCC3CC3CCCCC3C12,0,0,0
CHEMBL110691,,C(=O)(O[C@@]1(C(=O)C)[C@@]2([C@H]([C@@H]3C=C(Cl)C4[C@@]([C@H]3CC2)(CCC(=O)C=4)C)CC1)C)C,C(=O)(OC1(C(=O)C)C2(C(C3C=C(Cl)C4C(C3CC2)(CCC(=O)C=4)C)CC1)C)C,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,404.93703,0,,no,yes,,1,0,,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,CC(C)CC1(C(C)C)CCC2C3CC(C)C4CC(C)CCC4(C)C3CCC21C,1,0,0
CHEMBL1107,DB01218,C(F)(F)(F)c1cc2c3c(c(Cl)cc(Cl)c3)cc(c2cc1)C(O)CCN(CCCC)CCCC,C(F)(F)(F)c1cc2c3c(c(Cl)cc(Cl)c3)cc(c2cc1)C(O)CCN(CCCC)CCCC,CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,500.435,2,Mw; LP,yes,yes,0,0,0,AD,CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,CCCCC(CCCC)CCC(C)C1CC2C(C)CC(C)CC2C2CC(C(C)(C)C)CCC12,0,0,0
CHEMBL1108,DB00450,C(=O)(c1ccc(F)cc1)CCCN2CC=C(N3C(=O)Nc4c3cccc4)CC2,C(=O)(c1ccc(F)cc1)CCCN2CC=C(N3C(=O)Nc4c3cccc4)CC2,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,379.43684,0,,yes,yes,0,0,1,AD,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,CC1CCC(C(C)CCCC2CCC(C3C(C)CC4CCCCC43)CC2)CC1,1,0,0
CHEMBL1109,DB06729,O=S(=O)(c1ccc(cc1)N)Nc2n(-c3ccccc3)ncc2,O=S(=O)(c1ccc(cc1)N)Nc2n(-c3ccccc3)ncc2,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,314.36768,0,,yes,yes,0,0,0,AD,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,CC1CCC(C(C)(C)CC2CCCC2C2CCCCC2)CC1,0,0,0
CHEMBL111,DB06155,C(=O)(c1c(c(-c2ccc(Cl)cc2)n(-c3c(Cl)cc(Cl)cc3)n1)C)NN4CCCCC4,C(=O)(c1c(c(-c2ccc(Cl)cc2)n(-c3c(Cl)cc(Cl)cc3)n1)C)NN4CCCCC4,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,463.79677,1,LP,yes,yes,0,1,1,WD,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,CC1CCC(C2C(C)C(C(C)CC3CCCCC3)CC2C2CCC(C)CC2C)CC1,1,1,0
