,chembl_id,drugbank_id,canonical_smiles_ap,canonical_smiles_ap_nonstereo,orginal_smiles,mw_ap,rule_of_5,rule_of_5_label,in_drugbank,in_chembl,wd_drugbank,wd_chembl,wd_withdrawn,drugbank_three_class,sum,wd_consensus_1,wd_consensus_2,wd_consensus_3,standardized_smiles,scaffolds,test_train
2070,CHEMBL84,DB01030,N(Cc1c2c(nc3C4N(C(=O)C5=C([C@@](C(=O)OC5)(O)CC)C=4)Cc3c2)ccc1O)(C)C,N(Cc1c2c(nc3C4N(C(=O)C5=C(C(C(=O)OC5)(O)CC)C=4)Cc3c2)ccc1O)(C)C,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,421.45570999999995,0,,yes,yes,0,0.0,,AD,0,0,0,0,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,CCC1(C)C(C)CCC2C(C)C3CC4CC5C(CCC(C)C5CC(C)C)CC4C3CC21,train
2069,CHEMBL839,DB00521,C(NCC(O)COc1c2c(ccc1)NC(=O)CC2)(C)(C)C,C(NCC(O)COc1c2c(ccc1)NC(=O)CC2)(C)(C)C,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2,292.38048,0,,yes,yes,0,0.0,,AD,0,0,0,0,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2,CC(CCC1CCCC2CC(C)CCC12)CCC(C)(C)C,train
2068,CHEMBL838,DB00542,C(=O)(OCC)[C@@H](N[C@@H]1C(=O)N(c2c(cccc2)CC1)CC(=O)O)CCc3ccccc3,C(=O)(OCC)C(NC1C(=O)N(c2c(cccc2)CC1)CC(=O)O)CCc3ccccc3,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O,424.49996,0,,yes,yes,0,0.0,,AD,0,0,0,0,CCOC(=O)C(CCc1ccccc1)NC1CCc2ccccc2N(CC(=O)O)C1=O,CCCC(C)C(CCC1CCCCC1)CC1CCC2CCCCC2C(CC(C)C)C1C,train
2067,CHEMBL83668,DB00525,C(N(c1cc(ccc1)C)C)(Oc2cc3c(cc2)cccc3)=S,C(N(c1cc(ccc1)C)C)(Oc2cc3c(cc2)cccc3)=S,Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1,307.41649,1,LP,yes,yes,0,0.0,,AD,0,0,0,0,Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1,CC1CCCC(C(C)C(C)CC2CCC3CCCCC3C2)C1,train
2066,CHEMBL836,DB00706,O=S(=O)(c1c(OC)ccc(c1)C[C@H](NCCOc2c(OCC)cccc2)C)N,O=S(=O)(c1c(OC)ccc(c1)CC(NCCOc2c(OCC)cccc2)C)N,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1,408.51956,0,,yes,yes,0,0.0,,AD,0,0,0,0,CCOc1ccccc1OCCNC(C)Cc1ccc(OC)c(S(N)(=O)=O)c1,CCCC1CCCCC1CCCCC(C)CC1CCC(CC)C(C(C)(C)C)C1,train
2065,CHEMBL834,DB00282,C(P(=O)(O)O)(P(=O)(O)O)(O)CCN,C(P(=O)(O)O)(P(=O)(O)O)(O)CCN,NCCC(O)(P(=O)(O)O)P(=O)(O)O,235.07107000000002,1,Hb,yes,yes,0,0.0,,AD,0,0,0,0,NCCC(O)(P(=O)(O)O)P(=O)(O)O,CCCC(C)(C(C)(C)C)C(C)(C)C,train
2064,CHEMBL833,DB00208,Clc1c(cccc1)CN2Cc3c(scc3)CC2,Clc1c(cccc1)CN2Cc3c(scc3)CC2,Clc1ccccc1CN1CCc2sccc2C1,263.79068,0,,yes,yes,0,0.0,,AD,0,0,0,0,Clc1ccccc1CN1CCc2sccc2C1,CC1CCCCC1CC1CCC2CCCC2C1,train
2062,CHEMBL831,DB00408,Clc1cc2C(=Nc3c(Oc2cc1)cccc3)N4CCN(CC4)C,Clc1cc2C(=Nc3c(Oc2cc1)cccc3)N4CCN(CC4)C,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,327.81576,0,,yes,yes,0,0.0,,AD,0,0,0,0,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,CC1CCC(C2CC3CCCCC3CC3CCC(C)CC32)CC1,train
2061,CHEMBL83063,DB00867,c1(C(C(NCCc2ccc(O)cc2)C)O)ccc(O)cc1,c1(C(C(NCCc2ccc(O)cc2)C)O)ccc(O)cc1,CC(NCCc1ccc(O)cc1)C(O)c1ccc(O)cc1,287.36097,0,,yes,yes,0,0.0,,AD,0,0,0,0,CC(NCCc1ccc(O)cc1)C(O)c1ccc(O)cc1,CC1CCC(CCCC(C)C(C)C2CCC(C)CC2)CC1,train
2060,CHEMBL83,DB00675,C(=C(/c1ccccc1)\CC)(/c2ccc(OCCN(C)C)cc2)\c3ccccc3,C(=C(c1ccccc1)CC)(c2ccc(OCCN(C)C)cc2)c3ccccc3,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,371.52583,1,LP,yes,yes,0,0.0,,AD,0,0,0,0,CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,CCC(C1CCCCC1)C(C1CCCCC1)C1CCC(CCCC(C)C)CC1,train
2059,CHEMBL829,DB01246,N(CC(CN1c2c(Sc3c1cccc3)cccc2)C)(C)C,N(CC(CN1c2c(Sc3c1cccc3)cccc2)C)(C)C,CC(CN(C)C)CN1c2ccccc2Sc2ccccc21,298.45254,0,,yes,yes,0,0.0,,AD,0,0,0,0,CC(CN(C)C)CN1c2ccccc2Sc2ccccc21,CC(C)CC(C)CC1C2CCCCC2CC2CCCCC21,train
2058,CHEMBL826,DB00467,C(=O)(C1C(=O)c2c(nc(c(F)c2)N3CCNCC3)N(C=1)CC)O,C(=O)(C1C(=O)c2c(nc(c(F)c2)N3CCNCC3)N(C=1)CC)O,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,320.32538999999997,0,,yes,yes,0,0.0,,AD,0,0,0,0,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,CCC1CC(C(C)C)C(C)C2CC(C)C(C3CCCCC3)CC12,train
2057,CHEMBL82293,DB03796,C(=O)(O)CCCCCCCCCCCCCCC,C(=O)(O)CCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC(O)=O,256.43144,0,,yes,yes,0,,,AD,0,0,0,0,C(=O)(O)CCCCCCCCCCCCCCC,CCC1C(CCC(C)(C)C)CCC(C)C1C,train
2056,CHEMBL82202,DB00114,O=P(OCc1c(c(c(nc1)C)O)C=O)(O)O,O=P(OCc1c(c(c(nc1)C)O)C=O)(O)O,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,247.1454,0,,yes,yes,0,,,AD,0,0,0,0,Cc1ncc(COP(=O)(O)O)c(C=O)c1O,CCC1C(CCC(C)(C)C)CCC(C)C1C,train
2054,CHEMBL821,DB00536,C(=N)(N)N,C(=N)(N)N,N=C(N)N,59.07105,0,,yes,yes,0,0.0,,AD,0,0,0,0,N=C(N)N,CC(C)C,train
2053,CHEMBL820,DB01008,O=S(=O)(OCCCCOS(=O)(=O)C)C,O=S(=O)(OCCCCOS(=O)(=O)C)C,CS(=O)(=O)OCCCCOS(C)(=O)=O,246.30257999999998,0,,yes,yes,0,0.0,,AD,0,0,0,0,CS(=O)(=O)OCCCCOS(C)(=O)=O,CC(C)(C)CCCCCCC(C)(C)C,train
2052,CHEMBL819,DB00713,C(=O)(c1c(-c2ccccc2)noc1C)N[C@@H]3C(=O)N4[C@@H](C(=O)O)C(S[C@@H]43)(C)C,C(=O)(c1c(-c2ccccc2)noc1C)NC3C(=O)N4C(C(=O)O)C(SC43)(C)C,Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,401.44343,0,,yes,yes,0,0.0,,AD,0,0,0,0,Cc1onc(-c2ccccc2)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,CC(C)C1C2C(C)C(CC(C)C3C(C)CCC3C3CCCCC3)C2CC1(C)C,train
1146,CHEMBL2010601,DB08820,C(=O)(C1C(=O)c2c(cccc2)NC=1)Nc3c(C(C)(C)C)cc(C(C)(C)C)c(O)c3,C(=O)(C1C(=O)c2c(cccc2)NC=1)Nc3c(C(C)(C)C)cc(C(C)(C)C)c(O)c3,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,392.50116,0,,yes,yes,0,0.0,,AD,0,0,0,0,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,CC(CC1CC(C)C(C(C)(C)C)CC1C(C)(C)C)C1CCC2CCCCC2C1C,train
