,chembl_id,smiles
432,CHEMBL3137327,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O.CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O.CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)O.CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O.CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)O.CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O.CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O.CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O.CCCCC/C=C\C/C=C\CCCCCCCC(=O)O
439,CHEMBL1354,CC(=O)[O-].[Na+]
440,CHEMBL2104095,C[N+](C)(C)CCO.O=C([O-])c1ccccc1O
450,CHEMBL1455497,O=C(O)CC(O)C(=O)O
452,CHEMBL3039597,CNC(C)[C@@H]1CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](C(C)N)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O
461,CHEMBL3833409,O=C([O-])[O-].[Al+3].[Al+3].[Mg+2].[Mg+2].[Mg+2].[Mg+2].[Mg+2].[Mg+2].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-]
480,CHEMBL1330792,CC(=O)Nc1cc([As](=O)(O)O)ccc1O
507,CHEMBL1160819,N
620,CHEMBL2105741,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1.C[S+](C)[O-]
698,CHEMBL2219740,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO.[Ca+2]
704,CHEMBL3989843,N[C@@H]1C[C@H]1c1ccccc1.N[C@H]1C[C@@H]1c1ccccc1
724,CHEMBL2141296,CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O
747,CHEMBL2107145,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Mg+2]
785,CHEMBL545,CCO
811,CHEMBL186314,O=C([O-])[O-].[Na+].[Na+]
848,CHEMBL1200736,O=C([O-])[O-].[Mg+2]
852,CHEMBL1200928,CC(=O)[O-].CC(=O)[O-].[Zn+2]
867,CHEMBL2106111,CC(O)C(=O)[O-].CC(O)C(=O)[O-].[Ca+2]
904,CHEMBL3833405,CC(O)CN(C)C.CC(O)CN(C)C.CC(O)CN(C)C.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
911,CHEMBL2219738,O=C([O-])[C@H](O)[C@@H](O)C(=O)[O-].[K+].[Na+]
998,CHEMBL3833362,CCCCCCCC/C=C\CCCCCCCC(=O)[O-].CCCCCCCC/C=C\CCCCCCCC(=O)[O-].[Zn+2]
1024,CHEMBL3317857,O=C(O)C[C@@H]1CC[C@H](NC(=O)Cc2cccs2)B(O)O1
1027,CHEMBL2218885,C=Cc1c(C)c2cc3nc(cc4[nH]c(cc5nc(cc1[nH]2)C(C)=C5CCC(=O)O)c(CCC(=O)OC)c4C)C1(C)C3=CC=C(C(=O)OC)C1C(=O)OC.C=Cc1c(C)c2cc3nc(cc4[nH]c(cc5nc(cc1[nH]2)C(C)=C5CCC(=O)OC)c(CCC(=O)O)c4C)C1(C)C3=CC=C(C(=O)OC)C1C(=O)OC
1031,CHEMBL1201798,C=CCN.ClCC1CO1
1058,CHEMBL541,O=C(O)c1ccccc1
1085,CHEMBL1200861,O=C(O)[C@@H](O)[C@H](O)C(=O)O
1091,CHEMBL2105970,N.O=C(O)c1ccccc1
1177,CHEMBL3833339,CC(C)CCON=O.CCC(C)CON=O
1187,CHEMBL1200570,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
1206,CHEMBL1200539,O=C([O-])[O-].[Ca+2]
1239,CHEMBL484785,N#Cc1ccc(Oc2ccc3c(c2)COB3O)cc1
1262,CHEMBL1628385,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O.CCN(CC)CCOC(=O)c1ccc(N)cc1
1267,CHEMBL3833335,C[N+](C)(C)CC(=O)[O-].OC(O)C(Cl)(Cl)Cl
1270,CHEMBL1201038,CCCCCCc1ccc(O)cc1O.Nc1c2ccccc2nc2ccccc12
1274,CHEMBL539,CC(=O)O
1335,CHEMBL1356,O=C([O-])c1ccccc1.[Na+]
1347,CHEMBL443052,OB1OCc2cc(F)ccc21
1350,CHEMBL1200939,Cl.N
1411,CHEMBL1412,C1CNCCN1
1426,CHEMBL1673148,C[N+](C)(CCOc1ccccc1)Cc1ccccc1.O=C([O-])c1cc2ccccc2cc1O
1433,CHEMBL1200406,CN(C)CCOC(c1ccccc1)c1ccccc1.Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O
1437,CHEMBL2146161,CC1=C\[C@@H](O)CC(=O)Cc2nc(co2)C(=O)N2CCC=C2C(=O)O[C@H](C(C)C)[C@H](C)/C=C/C(=O)NC\C=C\1.CC[C@H]1NC(=O)[C@@H](NC(=O)c2ncccc2O)[C@@H](C)OC(=O)[C@H](c2ccccc2)NC(=O)[C@@H]2CC(=O)CCN2C(=O)[C@H](Cc2ccc(N(C)C)cc2)N(C)C(=O)[C@@H]2CCCN2C1=O
