,atc_code,chembl_id
286,B01AC25,CHEMBL334966
287,L01EE02,CHEMBL2146883
288,A07DA06,CHEMBL2159122
289,S01EC03,CHEMBL218490
290,J04AK06,CHEMBL218650
291,J01EA01,CHEMBL22
292,N05CD06,CHEMBL22097
293,R06AB03,CHEMBL22108
294,D04AA13,CHEMBL22108
295,R06AE04,CHEMBL22150
296,J01GB10,CHEMBL221572
297,L01EM01,CHEMBL2216870
298,J05AX27,CHEMBL221722
299,S01LA01,CHEMBL2218885
300,L01XG03,CHEMBL2141296
301,C01BG11,CHEMBL2111112
302,C02KX05,CHEMBL2107834
303,J04AK03,CHEMBL2107553
304,C01DA13,CHEMBL2107583
305,C01DA63,CHEMBL2107583
306,A06AD21,CHEMBL2107781
307,J05AF13,CHEMBL2107825
308,A10BK03,CHEMBL2107830
309,B02BX07,CHEMBL2107831
310,V03AB35,CHEMBL2111107
311,B03BA51,CHEMBL2110563
312,B03BA01,CHEMBL2110563
313,A16AX10,CHEMBL2110588
314,L01EB07,CHEMBL2110732
315,N06BA05,CHEMBL1177
316,N05AX17,CHEMBL2111101
317,A04AD11,CHEMBL2218896
318,A06AH03,CHEMBL2219418
319,C05CA53,CHEMBL231884
320,C05CA03,CHEMBL231884
321,L04AA42,CHEMBL2336071
322,G03GB02,CHEMBL2355051
323,A11CC02,CHEMBL2356023
324,G02CX02,CHEMBL231068
325,M01AG03,CHEMBL23588
326,J05AG06,CHEMBL2364608
327,S01EE06,CHEMBL2364612
328,J01AA14,CHEMBL2364632
329,N07XX13,CHEMBL2364639
330,B01AF02,CHEMBL231779
331,S01BA09,CHEMBL2308885
332,D07AB01,CHEMBL2308885
333,C10AA04,CHEMBL2220442
334,J01CF05,CHEMBL222645
335,J05AH01,CHEMBL222813
336,J05AG03,CHEMBL223228
337,G01AC03,CHEMBL224325
338,R02AA11,CHEMBL224325
339,P01AA04,CHEMBL224325
340,D08AH02,CHEMBL224325
341,L01BA03,CHEMBL225071
342,J04AK08,CHEMBL227875
343,M03BX06,CHEMBL229128
344,A16AX13,CHEMBL2107381
345,N05CH03,CHEMBL2103822
346,S01EB08,CHEMBL20835
347,S01EB58,CHEMBL20835
348,L01BC03,CHEMBL20883
349,L01BC53,CHEMBL20883
350,V03AX03,CHEMBL2095208
351,D06BA05,CHEMBL21
352,J01EB06,CHEMBL21
353,G03CX01,CHEMBL2103774
354,C01CA27,CHEMBL2103827
355,B02BX09,CHEMBL2103830
356,G04BE11,CHEMBL2103849
357,D01AC19,CHEMBL2103877
358,B02BX08,CHEMBL2103883
359,A14AA02,CHEMBL2079587
360,G02CX05,CHEMBL2070241
361,L04AX07,CHEMBL2107333
362,C01EB15,CHEMBL203266
363,J05AP07,CHEMBL2023898
364,N05AX15,CHEMBL2028019
365,C09CA09,CHEMBL2028661
366,L01EC02,CHEMBL2028663
367,B06AC02,CHEMBL2028850
368,R03BA08,CHEMBL2040682
369,R01AD13,CHEMBL2040682
370,J05AP11,CHEMBL2063090
371,L01XJ03,CHEMBL2043437
372,J05AJ02,CHEMBL204656
373,C01CX08,CHEMBL2051955
374,A05AA03,CHEMBL205596
375,J01AA04,CHEMBL2103929
376,N02BA03,CHEMBL2104095
377,D07AB21,CHEMBL2106011
378,G03DB04,CHEMBL2105722
379,L01XJ02,CHEMBL2105737
380,A16AX09,CHEMBL2105745
381,A06AH05,CHEMBL2105755
382,N05AX16,CHEMBL2105760
383,A06AB09,CHEMBL2106004
384,A12AA03,CHEMBL2106119
385,D11AX03,CHEMBL2106119
386,C05CX02,CHEMBL2106794
387,G03BA03,CHEMBL2107067
388,V08AB11,CHEMBL2107212
389,V08AB10,CHEMBL2107214
390,V08AA05,CHEMBL2107239
391,M04AB05,CHEMBL2105720
392,L01EX07,CHEMBL2105717
393,D01AC18,CHEMBL2105689
394,M01AB07,CHEMBL2105456
395,R05DA08,CHEMBL2105224
396,N06AX26,CHEMBL2104993
397,A11HA32,CHEMBL2104786
398,R06AX21,CHEMBL2104445
399,P02CX03,CHEMBL2104415
400,N05BA10,CHEMBL2104356
401,N05AH06,CHEMBL304902
402,D09AA07,CHEMBL305906
403,B05CA01,CHEMBL305906
404,D08AJ03,CHEMBL305906
405,R02AA06,CHEMBL305906
406,M01CB01,CHEMBL306043
407,J05AG04,CHEMBL308954
408,R02AA14,CHEMBL310555
409,D08AH03,CHEMBL310555
410,G01AC30,CHEMBL310555
411,A01AB07,CHEMBL310555
412,S01GA53,CHEMBL312448
413,R01AA07,CHEMBL312448
414,R01AB06,CHEMBL312448
415,S01GA03,CHEMBL312448
416,S01AA11,CHEMBL3039597
417,S02AA14,CHEMBL3039597
418,J01GB03,CHEMBL3039597
419,S03AA06,CHEMBL3039597
420,D06AX07,CHEMBL3039597
421,L01XX52,CHEMBL3137309
422,J05AP09,CHEMBL3137312
423,L01XK04,CHEMBL3137320
424,C09AA09,CHEMBL3039598
425,N03AF04,CHEMBL315985
426,N07CA03,CHEMBL30008
427,A06AD11,CHEMBL296306
428,A06AD61,CHEMBL296306
429,N05AD07,CHEMBL297302
430,P01BA07,CHEMBL298470
431,A02BA51,CHEMBL30
432,A02BA01,CHEMBL30
433,N04BC05,CHEMBL301265
434,J05AP10,CHEMBL3039514
435,P01BE04,CHEMBL301267
436,M01AC02,CHEMBL302795
437,L01EM04,CHEMBL3039502
438,A10BK06,CHEMBL3039507
439,L01XX10,CHEMBL313972
440,A10BH05,CHEMBL237500
441,H01BB03,CHEMBL3301668
442,L01XG01,CHEMBL325041
443,J01XX12,CHEMBL3291398
444,L04AA45,CHEMBL3301607
445,L01EF03,CHEMBL3301610
446,L01EX13,CHEMBL3301622
447,A06AX04,CHEMBL3301675
448,C09AA15,CHEMBL331378
449,G01AC05,CHEMBL333826
450,D08AH01,CHEMBL333826
451,R02AA02,CHEMBL333826
452,L01EM02,CHEMBL3218576
453,A11DA03,CHEMBL3183549
454,J05AB15,CHEMBL31634
455,J01CA02,CHEMBL3182343
456,A02BA04,CHEMBL3183075
457,L02BB05,CHEMBL3183409
458,J01MA14,CHEMBL32
459,S01AE07,CHEMBL32
460,N05AH05,CHEMBL3187365
461,L01EE03,CHEMBL3187723
462,N01BX04,CHEMBL294199
463,M02AB01,CHEMBL294199
464,A03AX58,CHEMBL253371
465,A03AX08,CHEMBL253371
466,R05CB02,CHEMBL253376
467,M09AX03,CHEMBL256997
468,R02AA18,CHEMBL25105
469,R01AX07,CHEMBL25105
470,S01AX08,CHEMBL25105
471,D08AC04,CHEMBL25105
472,S03AA05,CHEMBL25105
473,N06AX17,CHEMBL259209
474,N05AL01,CHEMBL26
475,S01AA28,CHEMBL262777
476,A07AA09,CHEMBL262777
477,J01XA01,CHEMBL262777
478,J02AX06,CHEMBL264241
479,N05AC01,CHEMBL251940
480,C08CA13,CHEMBL250270
481,N05AL05,CHEMBL243712
482,B01AC27,CHEMBL238804
483,L01EM03,CHEMBL2396661
484,C07AB03,CHEMBL24
485,L01ED02,CHEMBL2403108
486,A05AA01,CHEMBL240597
487,B01AC06,CHEMBL25
488,N02BA01,CHEMBL25
489,N02BA51,CHEMBL25
490,A01AD05,CHEMBL25
491,N02BA71,CHEMBL25
492,N07CA01,CHEMBL24441
493,G04CA04,CHEMBL24778
494,L01EX04,CHEMBL24828
495,B01AA12,CHEMBL24924
496,J01AA05,CHEMBL249837
497,C01CE03,CHEMBL249856
498,C10AB02,CHEMBL264374
499,J01MA03,CHEMBL267648
