,chembl_id,atc_code
503,CHEMBL460291,C08CA09
505,CHEMBL460282,L01AB03
507,CHEMBL460,N05AE02
509,CHEMBL46,A04AA01
511,CHEMBL4594250,S01EX05
513,CHEMBL339427,M03AA02
514,CHEMBL334966,B01AC25
516,CHEMBL2146883,L01EE02
518,CHEMBL2159122,A07DA06
520,CHEMBL218490,S01EC03
522,CHEMBL218650,J04AK06
524,CHEMBL22,J01EA01
526,CHEMBL22097,N05CD06
528,CHEMBL22108,D04AA13
529,CHEMBL22108,R06AB03
532,CHEMBL22150,R06AE04
533,CHEMBL221572,J01GB10
535,CHEMBL2216870,L01EM01
537,CHEMBL221722,J05AX27
539,CHEMBL2218885,S01LA01
540,CHEMBL2141296,L01XG03
542,CHEMBL2111112,C01BG11
543,CHEMBL2107834,C02KX05
545,CHEMBL2107553,J04AK03
546,CHEMBL2107583,C01DA13
548,CHEMBL2107583,C01DA63
549,CHEMBL2107781,A06AD21
550,CHEMBL2107825,J05AF13
552,CHEMBL2107830,A10BK03
554,CHEMBL2107831,B02BX07
556,CHEMBL2111107,V03AB35
557,CHEMBL2110563,B03BA51
558,CHEMBL2110563,B03BA01
559,CHEMBL2110588,A16AX10
561,CHEMBL2110732,L01EB07
563,CHEMBL1177,N06BA05
565,CHEMBL2111101,N05AX17
566,CHEMBL2218896,A04AD11
567,CHEMBL2219418,A06AH03
569,CHEMBL231884,C05CA03
570,CHEMBL231884,C05CA53
572,CHEMBL2336071,L04AA42
573,CHEMBL2355051,G03GB02
574,CHEMBL2356023,A11CC02
576,CHEMBL2357792,C01BA05
577,CHEMBL231068,G02CX02
579,CHEMBL23588,M01AG03
581,CHEMBL2364608,J05AG06
583,CHEMBL2364612,S01EE06
585,CHEMBL2364632,J01AA14
586,CHEMBL2364639,N07XX13
588,CHEMBL231779,B01AF02
590,CHEMBL2308885,S01BA09
591,CHEMBL2308885,D07AB01
592,CHEMBL2219425,N05AX12
593,CHEMBL2220442,C10AA04
594,CHEMBL222645,J01CF05
596,CHEMBL222813,J05AH01
598,CHEMBL222863,C01AC01
599,CHEMBL223228,J05AG03
601,CHEMBL224325,D08AH02
602,CHEMBL224325,G01AC03
603,CHEMBL224325,P01AA04
604,CHEMBL224325,R02AA11
609,CHEMBL225071,L01BA03
611,CHEMBL227875,J04AK08
613,CHEMBL229128,M03BX06
615,CHEMBL2107389,G03DA01
616,CHEMBL2107389,L02AB03
617,CHEMBL2107381,A16AX13
619,CHEMBL2103822,N05CH03
621,CHEMBL20835,S01EB08
623,CHEMBL20835,S01EB58
624,CHEMBL20883,L01BC03
626,CHEMBL20883,L01BC53
627,CHEMBL2095208,V03AX03
629,CHEMBL21,D06BA05
630,CHEMBL21,J01EB06
633,CHEMBL2103774,G03CX01
635,CHEMBL2103827,C01CA27
637,CHEMBL2103830,B02BX09
639,CHEMBL2103849,G04BE11
641,CHEMBL2103877,D01AC19
643,CHEMBL2103883,B02BX08
645,CHEMBL2079587,A14AA02
647,CHEMBL2070241,G02CX05
649,CHEMBL2107333,L04AX07
651,CHEMBL203266,C01EB15
653,CHEMBL2023898,J05AP07
655,CHEMBL2028019,N05AX15
656,CHEMBL2028661,C09CA09
658,CHEMBL2028663,L01EC02
660,CHEMBL2028850,B06AC02
661,CHEMBL2040682,R01AD13
662,CHEMBL2040682,R03BA08
665,CHEMBL2063090,J05AP11
667,CHEMBL2043437,L01XJ03
669,CHEMBL204656,J05AJ02
671,CHEMBL2051955,C01CX08
673,CHEMBL205596,A05AA03
675,CHEMBL2103929,J01AA04
676,CHEMBL2104095,N02BA03
678,CHEMBL2106011,D07AB21
680,CHEMBL2105722,G03DB04
682,CHEMBL2105737,L01XJ02
684,CHEMBL2105745,A16AX09
686,CHEMBL2105755,A06AH05
688,CHEMBL2105760,N05AX16
690,CHEMBL2106004,A06AB09
692,CHEMBL2106119,A12AA03
693,CHEMBL2106119,D11AX03
696,CHEMBL2104130,D01AE04
697,CHEMBL2106794,C05CX02
698,CHEMBL2107067,G03BA03
700,CHEMBL2107212,V08AB11
702,CHEMBL2107214,V08AB10
704,CHEMBL2107239,V08AA05
706,CHEMBL2105720,M04AB05
708,CHEMBL2105717,L01EX07
710,CHEMBL2105695,A16AX15
711,CHEMBL2105689,D01AC18
713,CHEMBL2105456,M01AB07
715,CHEMBL2105224,R05DA08
717,CHEMBL2104993,N06AX26
719,CHEMBL2104786,A11HA32
720,CHEMBL2104445,R06AX21
722,CHEMBL2104415,P02CX03
723,CHEMBL2104356,N05BA10
725,CHEMBL304902,N05AH06
727,CHEMBL305906,B05CA01
728,CHEMBL305906,D08AJ03
729,CHEMBL305906,D09AA07
